id,pair,bid,ask,spread_percentage,timestamp
35161,USDT_BRL,5.717,5.718,0.017492,2025-05-30T02:35:06.027111Z
35165,USDT_BRL,5.717,5.718,0.017492,2025-05-30T02:35:05.991080Z
35177,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:30:07.168905Z
35181,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:30:07.088325Z
35193,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:25:06.820376Z
35197,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:25:06.010393Z
35209,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:20:07.546806Z
35213,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:20:06.697946Z
35225,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:15:06.467138Z
35229,USDT_BRL,5.718,5.719,0.017489,2025-05-30T02:15:06.186234Z
35241,USDT_BRL,5.715,5.716,0.017498,2025-05-30T02:10:06.636685Z
35245,USDT_BRL,5.715,5.716,0.017498,2025-05-30T02:10:06.562439Z
35257,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:05:06.901980Z
35261,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:05:06.709219Z
35273,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:00:07.822512Z
35277,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:00:06.186834Z
35289,USDT_BRL,5.712,5.713,0.017507,2025-05-30T01:55:06.949241Z
35293,USDT_BRL,5.712,5.713,0.017507,2025-05-30T01:55:06.208564Z
35305,USDT_BRL,5.715,5.716,0.017498,2025-05-30T01:50:07.312391Z
35309,USDT_BRL,5.715,5.716,0.017498,2025-05-30T01:50:06.747038Z
35321,USDT_BRL,5.715,5.716,0.017498,2025-05-30T01:45:07.012366Z
35325,USDT_BRL,5.715,5.716,0.017498,2025-05-30T01:45:06.778023Z
35337,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:40:07.503537Z
35341,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:40:06.985646Z
35353,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:35:06.574168Z
35357,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:35:05.385877Z
35369,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:30:07.297371Z
35373,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:30:06.721542Z
35385,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:25:06.751212Z
35389,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:25:06.424457Z
35401,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:20:06.946843Z
35405,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:20:06.219047Z
35417,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:15:07.157580Z
35421,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:15:05.911544Z
35433,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:10:07.459880Z
35437,USDT_BRL,5.717,5.718,0.017492,2025-05-30T01:10:06.422547Z
35449,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:05:07.412920Z
35453,USDT_BRL,5.718,5.719,0.017489,2025-05-30T01:05:06.110623Z
35465,USDT_BRL,5.721,5.722,0.017479,2025-05-30T01:00:08.695979Z
35469,USDT_BRL,5.721,5.722,0.017479,2025-05-30T01:00:07.197513Z
35481,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:55:06.277849Z
35485,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:55:04.873647Z
35497,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:50:07.290668Z
35501,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:50:06.505249Z
35513,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:45:06.776994Z
35517,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:45:06.034152Z
35529,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:40:07.175533Z
35533,USDT_BRL,5.708,5.709,0.017519,2025-05-30T00:40:06.034153Z
35545,USDT_BRL,5.705,5.706,0.017528,2025-05-30T00:35:06.618334Z
35549,USDT_BRL,5.705,5.706,0.017528,2025-05-30T00:35:05.949372Z
35561,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:30:07.056850Z
35565,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:30:06.538393Z
35577,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:25:06.831904Z
35581,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:25:06.830247Z
35593,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:20:06.799700Z
35597,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:20:06.488187Z
35609,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:15:06.481235Z
35613,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:15:06.408237Z
35625,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:10:07.529230Z
35629,USDT_BRL,5.704,5.705,0.017532,2025-05-30T00:10:07.000422Z
35641,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:05:06.324211Z
35645,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:05:06.017467Z
35657,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:00:07.806441Z
35661,USDT_BRL,5.709,5.71,0.017516,2025-05-30T00:00:07.026048Z
35673,USDT_BRL,5.712,5.713,0.017507,2025-05-29T23:55:06.297885Z
35677,USDT_BRL,5.712,5.713,0.017507,2025-05-29T23:55:05.992262Z
35689,USDT_BRL,5.709,5.71,0.017516,2025-05-29T23:50:07.124232Z
35693,USDT_BRL,5.709,5.71,0.017516,2025-05-29T23:50:06.765959Z
35705,USDT_BRL,5.703,5.704,0.017535,2025-05-29T23:45:07.278057Z
35709,USDT_BRL,5.703,5.704,0.017535,2025-05-29T23:45:06.519392Z
35721,USDT_BRL,5.702,5.703,0.017538,2025-05-29T23:40:07.480938Z
35725,USDT_BRL,5.702,5.703,0.017538,2025-05-29T23:40:05.775586Z
35737,USDT_BRL,5.702,5.703,0.017538,2025-05-29T23:35:07.086728Z
35741,USDT_BRL,5.702,5.703,0.017538,2025-05-29T23:35:05.907541Z
35753,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:30:07.110464Z
35757,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:30:06.241603Z
35769,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:25:06.275732Z
35773,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:25:05.598566Z
35785,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:20:06.986507Z
35789,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:20:05.901434Z
35801,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:15:07.181976Z
35805,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:15:06.082818Z
35817,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:10:06.844063Z
35821,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:10:06.704879Z
35833,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:05:06.173447Z
35837,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:05:05.282416Z
35849,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:00:07.096804Z
35853,USDT_BRL,5.701,5.702,0.017541,2025-05-29T23:00:06.468276Z
35865,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:55:06.868375Z
35869,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:55:05.831338Z
35881,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:50:07.483134Z
35885,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:50:05.802621Z
35897,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:45:06.987091Z
35901,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:45:05.617518Z
35913,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:40:07.256868Z
35917,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:40:05.715807Z
35929,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:35:05.966584Z
35933,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:35:05.384004Z
35945,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:30:07.516523Z
35949,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:30:06.592137Z
35961,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:25:07.294824Z
35965,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:25:06.838852Z
35977,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:20:07.159757Z
35981,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:20:05.995701Z
35993,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:15:07.390385Z
35997,USDT_BRL,5.701,5.702,0.017541,2025-05-29T22:15:05.802076Z
36009,USDT_BRL,5.698,5.699,0.01755,2025-05-29T22:10:07.093568Z
36013,USDT_BRL,5.698,5.699,0.01755,2025-05-29T22:10:05.802539Z
